Item,Quantity,Price Per Unit,Total Spent,Payment Method,Location,Transaction Date,Month,Day,Year,Weekday
Coffee,2.0,2.0,4.0,Digital Wallet,In-store,2023-06-11,6,11,2023,Sunday
Cookie,5.0,1.0,5.0,Digital Wallet,Takeaway,2023-06-01,6,1,2023,Thursday
Sandwich,1.0,4.0,4.0,Digital Wallet,Takeaway,2023-06-10,6,10,2023,Saturday
Sandwich,5.0,4.0,20.0,Cash,In-store,2023-06-03,6,3,2023,Saturday
Coffee,5.0,2.0,10.0,Digital Wallet,Takeaway,2023-06-02,6,2,2023,Friday
Smoothie,4.0,4.0,16.0,Digital Wallet,Takeaway,2023-06-08,6,8,2023,Thursday
Coffee,4.0,2.0,8.0,Digital Wallet,Takeaway,2023-06-29,6,29,2023,Thursday
Juice,5.0,3.0,15.0,Cash,Takeaway,2023-06-26,6,26,2023,Monday
Cake,5.0,3.0,15.0,Digital Wallet,Takeaway,2023-06-27,6,27,2023,Tuesday
Smoothie,4.0,4.0,16.0,Digital Wallet,Takeaway,2023-06-01,6,1,2023,Thursday
Salad,2.0,5.0,10.0,Digital Wallet,Takeaway,2023-06-19,6,19,2023,Monday
Tea,5.0,1.5,7.5,Cash,Takeaway,2023-06-02,6,2,2023,Friday
Juice,4.0,3.0,12.0,Cash,In-store,2023-06-15,6,15,2023,Thursday
Salad,5.0,5.0,25.0,Cash,In-store,2023-06-10,6,10,2023,Saturday
Cake,2.0,3.0,6.0,Digital Wallet,Takeaway,2023-06-02,6,2,2023,Friday
Cake,2.0,3.0,6.0,Digital Wallet,Takeaway,2023-06-18,6,18,2023,Sunday
Juice,2.0,3.0,6.0,Digital Wallet,Takeaway,2023-06-08,6,8,2023,Thursday
Salad,3.0,5.0,15.0,Credit Card,In-store,2023-06-10,6,10,2023,Saturday
Salad,4.0,5.0,20.0,Cash,In-store,2023-06-06,6,6,2023,Tuesday
Salad,5.0,5.0,25.0,Cash,Takeaway,2023-06-10,6,10,2023,Saturday
Coffee,1.0,2.0,2.0,Digital Wallet,Takeaway,2023-06-23,6,23,2023,Friday
Juice,2.0,3.0,6.0,Digital Wallet,Takeaway,2023-06-27,6,27,2023,Tuesday
Sandwich,3.0,4.0,12.0,Cash,Takeaway,2023-06-08,6,8,2023,Thursday
Cookie,4.0,1.0,4.0,Credit Card,Takeaway,2023-06-23,6,23,2023,Friday
Cookie,1.0,1.0,1.0,Digital Wallet,Takeaway,2023-06-30,6,30,2023,Friday
Sandwich,3.0,4.0,12.0,Credit Card,In-store,2023-06-15,6,15,2023,Thursday
Salad,3.0,5.0,15.0,Cash,Takeaway,2023-06-30,6,30,2023,Friday
Juice,2.0,3.0,6.0,Cash,Takeaway,2023-06-07,6,7,2023,Wednesday
Smoothie,2.0,4.0,8.0,Cash,Takeaway,2023-06-20,6,20,2023,Tuesday
Coffee,4.0,2.0,8.0,Credit Card,Takeaway,2023-06-10,6,10,2023,Saturday
Cookie,1.0,1.0,1.0,Cash,In-store,2023-06-07,6,7,2023,Wednesday
Tea,4.0,1.5,6.0,Cash,Takeaway,2023-06-19,6,19,2023,Monday
Salad,2.0,5.0,10.0,Digital Wallet,In-store,2023-06-06,6,6,2023,Tuesday
Juice,5.0,3.0,15.0,Digital Wallet,In-store,2023-06-13,6,13,2023,Tuesday
Juice,1.0,3.0,3.0,Digital Wallet,Takeaway,2023-06-03,6,3,2023,Saturday
