Item,Quantity,Price Per Unit,Total Spent,Payment Method,Location,Transaction Date,Month,Day,Year,Weekday
Coffee,2.0,2.0,4.0,Credit Card,Takeaway,2023-09-08,9,8,2023,Friday
Cake,4.0,3.0,12.0,Cash,In-store,2023-05-16,5,16,2023,Tuesday
Cookie,4.0,1.0,4.0,Credit Card,In-store,2023-07-19,7,19,2023,Wednesday
Salad,2.0,5.0,10.0,Digital Wallet,Takeaway,2023-04-27,4,27,2023,Thursday
Coffee,2.0,2.0,4.0,Digital Wallet,In-store,2023-06-11,6,11,2023,Sunday
Smoothie,5.0,4.0,20.0,Credit Card,Takeaway,2023-03-31,3,31,2023,Friday
Juice,3.0,3.0,9.0,Digital Wallet,Takeaway,2023-10-06,10,6,2023,Friday
Sandwich,4.0,4.0,16.0,Cash,Takeaway,2023-10-28,10,28,2023,Saturday
Juice,5.0,3.0,15.0,Digital Wallet,Takeaway,2023-07-28,7,28,2023,Friday
Sandwich,5.0,4.0,20.0,Digital Wallet,In-store,2023-12-31,12,31,2023,Sunday
Salad,5.0,5.0,25.0,Cash,Takeaway,2023-11-07,11,7,2023,Tuesday
Sandwich,2.0,4.0,8.0,Cash,In-store,2023-05-03,5,3,2023,Wednesday
Cookie,5.0,1.0,5.0,Digital Wallet,Takeaway,2023-06-01,6,1,2023,Thursday
Tea,2.0,1.5,3.0,Digital Wallet,In-store,2023-03-21,3,21,2023,Tuesday
Salad,3.0,5.0,15.0,Credit Card,In-store,2023-11-15,11,15,2023,Wednesday
Sandwich,1.0,4.0,4.0,Digital Wallet,Takeaway,2023-06-10,6,10,2023,Saturday
Juice,2.0,3.0,6.0,Cash,In-store,2023-02-24,2,24,2023,Friday
Cake,5.0,3.0,15.0,Cash,Takeaway,2023-03-25,3,25,2023,Saturday
Juice,4.0,3.0,12.0,Cash,Takeaway,2023-01-15,1,15,2023,Sunday
Smoothie,5.0,4.0,20.0,Cash,In-store,2023-04-04,4,4,2023,Tuesday
Smoothie,4.0,4.0,16.0,Credit Card,Takeaway,2023-03-30,3,30,2023,Thursday
Sandwich,3.0,4.0,12.0,Digital Wallet,Takeaway,2023-12-01,12,1,2023,Friday
Sandwich,2.0,4.0,8.0,Digital Wallet,Takeaway,2023-09-18,9,18,2023,Monday
Sandwich,5.0,4.0,20.0,Cash,In-store,2023-06-03,6,3,2023,Saturday
Smoothie,3.0,4.0,12.0,Digital Wallet,Takeaway,2023-12-13,12,13,2023,Wednesday
Cookie,5.0,1.0,5.0,Credit Card,In-store,2023-04-20,4,20,2023,Thursday
Juice,4.0,3.0,12.0,Credit Card,Takeaway,2023-04-10,4,10,2023,Monday
Smoothie,5.0,4.0,20.0,Credit Card,Takeaway,2023-03-11,3,11,2023,Saturday
Coffee,5.0,2.0,10.0,Digital Wallet,Takeaway,2023-06-02,6,2,2023,Friday
Cookie,2.0,1.0,2.0,Credit Card,Takeaway,2023-11-06,11,6,2023,Monday
Smoothie,4.0,4.0,16.0,Digital Wallet,In-store,2023-08-15,8,15,2023,Tuesday
Smoothie,2.0,4.0,8.0,Digital Wallet,Takeaway,2023-10-09,10,9,2023,Monday
Sandwich,1.0,4.0,4.0,Credit Card,Takeaway,2023-05-28,5,28,2023,Sunday
Cake,4.0,3.0,12.0,Digital Wallet,In-store,2023-07-17,7,17,2023,Monday
Salad,2.0,5.0,10.0,Credit Card,In-store,2023-04-29,4,29,2023,Saturday
Smoothie,4.0,4.0,16.0,Digital Wallet,Takeaway,2023-06-08,6,8,2023,Thursday
Coffee,4.0,2.0,8.0,Digital Wallet,Takeaway,2023-06-29,6,29,2023,Thursday
Smoothie,3.0,4.0,12.0,Digital Wallet,In-store,2023-04-17,4,17,2023,Monday
Sandwich,4.0,4.0,16.0,Digital Wallet,Takeaway,2023-12-22,12,22,2023,Friday
Tea,2.0,1.5,3.0,Digital Wallet,Takeaway,2023-01-10,1,10,2023,Tuesday
Juice,4.0,3.0,12.0,Digital Wallet,Takeaway,2023-10-02,10,2,2023,Monday
Cookie,2.0,1.0,2.0,Digital Wallet,Takeaway,2023-02-23,2,23,2023,Thursday
Salad,3.0,5.0,15.0,Cash,Takeaway,2023-03-22,3,22,2023,Wednesday
Juice,4.0,3.0,12.0,Digital Wallet,In-store,2023-11-03,11,3,2023,Friday
Juice,5.0,3.0,15.0,Digital Wallet,Takeaway,2023-03-02,3,2,2023,Thursday
Juice,5.0,3.0,15.0,Cash,Takeaway,2023-06-26,6,26,2023,Monday
Cake,3.0,3.0,9.0,Digital Wallet,Takeaway,2023-05-02,5,2,2023,Tuesday
Cake,5.0,3.0,15.0,Digital Wallet,Takeaway,2023-09-05,9,5,2023,Tuesday
Salad,5.0,5.0,25.0,Digital Wallet,Takeaway,2023-01-08,1,8,2023,Sunday
Salad,5.0,5.0,25.0,Digital Wallet,Takeaway,2023-03-15,3,15,2023,Wednesday
Smoothie,3.0,4.0,12.0,Credit Card,Takeaway,2023-11-25,11,25,2023,Saturday
Smoothie,5.0,4.0,20.0,Digital Wallet,Takeaway,2023-12-05,12,5,2023,Tuesday
Cookie,2.0,1.0,2.0,Credit Card,Takeaway,2023-03-19,3,19,2023,Sunday
Cake,5.0,3.0,15.0,Digital Wallet,Takeaway,2023-06-27,6,27,2023,Tuesday
Cake,1.0,3.0,3.0,Digital Wallet,In-store,2023-04-19,4,19,2023,Wednesday
Sandwich,4.0,4.0,16.0,Cash,Takeaway,2023-11-03,11,3,2023,Friday
Juice,5.0,3.0,15.0,Digital Wallet,In-store,2023-10-07,10,7,2023,Saturday
Salad,1.0,5.0,5.0,Digital Wallet,Takeaway,2023-09-30,9,30,2023,Saturday
Juice,1.0,3.0,3.0,Digital Wallet,In-store,2023-10-09,10,9,2023,Monday
Sandwich,1.0,4.0,4.0,Cash,Takeaway,2023-05-27,5,27,2023,Saturday
Salad,3.0,5.0,15.0,Digital Wallet,Takeaway,2023-11-18,11,18,2023,Saturday
Smoothie,4.0,4.0,16.0,Digital Wallet,Takeaway,2023-06-01,6,1,2023,Thursday
Sandwich,3.0,4.0,12.0,Digital Wallet,In-store,2023-10-20,10,20,2023,Friday
Juice,2.0,3.0,6.0,Cash,Takeaway,2023-03-30,3,30,2023,Thursday
Cookie,1.0,1.0,1.0,Credit Card,Takeaway,2023-10-03,10,3,2023,Tuesday
Salad,2.0,5.0,10.0,Digital Wallet,In-store,2023-10-27,10,27,2023,Friday
Cake,5.0,3.0,15.0,Digital Wallet,In-store,2023-04-06,4,6,2023,Thursday
Tea,2.0,1.5,3.0,Cash,In-store,2023-03-22,3,22,2023,Wednesday
Cake,2.0,3.0,6.0,Credit Card,In-store,2023-01-31,1,31,2023,Tuesday
Cookie,1.0,1.0,1.0,Cash,In-store,2023-12-08,12,8,2023,Friday
Salad,2.0,5.0,10.0,Digital Wallet,Takeaway,2023-06-19,6,19,2023,Monday
Smoothie,2.0,4.0,8.0,Credit Card,Takeaway,2023-12-14,12,14,2023,Thursday
Coffee,1.0,2.0,2.0,Cash,Takeaway,2023-07-16,7,16,2023,Sunday
Sandwich,4.0,4.0,16.0,Cash,Takeaway,2023-02-22,2,22,2023,Wednesday
Tea,5.0,1.5,7.5,Cash,Takeaway,2023-06-02,6,2,2023,Friday
Juice,4.0,3.0,12.0,Cash,In-store,2023-06-15,6,15,2023,Thursday
Coffee,2.0,2.0,4.0,Credit Card,In-store,2023-12-09,12,9,2023,Saturday
Sandwich,2.0,4.0,8.0,Digital Wallet,In-store,2023-04-18,4,18,2023,Tuesday
Cookie,2.0,1.0,2.0,Digital Wallet,Takeaway,2023-11-07,11,7,2023,Tuesday
Cake,3.0,3.0,9.0,Cash,In-store,2023-10-28,10,28,2023,Saturday
Cake,4.0,3.0,12.0,Credit Card,Takeaway,2023-12-22,12,22,2023,Friday
Tea,3.0,1.5,4.5,Cash,Takeaway,2023-10-29,10,29,2023,Sunday
Cake,5.0,3.0,15.0,Credit Card,Takeaway,2023-04-30,4,30,2023,Sunday
Cookie,5.0,1.0,5.0,Digital Wallet,Takeaway,2023-04-02,4,2,2023,Sunday
Salad,1.0,5.0,5.0,Digital Wallet,Takeaway,2023-05-24,5,24,2023,Wednesday
Cookie,5.0,1.0,5.0,Digital Wallet,In-store,2023-03-12,3,12,2023,Sunday
Tea,2.0,1.5,3.0,Credit Card,In-store,2023-08-16,8,16,2023,Wednesday
Juice,5.0,3.0,15.0,Digital Wallet,In-store,2023-10-28,10,28,2023,Saturday
Juice,5.0,3.0,15.0,Credit Card,Takeaway,2023-09-10,9,10,2023,Sunday
Coffee,3.0,2.0,6.0,Credit Card,Takeaway,2023-03-07,3,7,2023,Tuesday
Juice,3.0,3.0,9.0,Cash,Takeaway,2023-08-07,8,7,2023,Monday
Salad,3.0,5.0,15.0,Digital Wallet,Takeaway,2023-08-20,8,20,2023,Sunday
Salad,5.0,5.0,25.0,Cash,In-store,2023-06-10,6,10,2023,Saturday
Coffee,4.0,2.0,8.0,Digital Wallet,In-store,2023-04-15,4,15,2023,Saturday
Juice,4.0,3.0,12.0,Cash,Takeaway,2023-05-27,5,27,2023,Saturday
Coffee,4.0,2.0,8.0,Cash,In-store,2023-07-25,7,25,2023,Tuesday
Salad,5.0,5.0,25.0,Cash,Takeaway,2023-10-30,10,30,2023,Monday
Salad,3.0,5.0,15.0,Digital Wallet,Takeaway,2023-10-28,10,28,2023,Saturday
Juice,2.0,3.0,6.0,Digital Wallet,Takeaway,2023-12-15,12,15,2023,Friday
Salad,4.0,5.0,20.0,Digital Wallet,In-store,2023-02-25,2,25,2023,Saturday
Cookie,3.0,1.0,3.0,Credit Card,Takeaway,2023-04-03,4,3,2023,Monday
Cookie,3.0,1.0,3.0,Credit Card,Takeaway,2023-10-08,10,8,2023,Sunday
Cookie,5.0,1.0,5.0,Digital Wallet,Takeaway,2023-12-28,12,28,2023,Thursday
Tea,4.0,1.5,6.0,Digital Wallet,Takeaway,2023-08-30,8,30,2023,Wednesday
Sandwich,1.0,4.0,4.0,Digital Wallet,In-store,2023-02-03,2,3,2023,Friday
Smoothie,2.0,4.0,8.0,Credit Card,Takeaway,2023-09-12,9,12,2023,Tuesday
Smoothie,5.0,4.0,20.0,Digital Wallet,Takeaway,2023-04-27,4,27,2023,Thursday
Juice,3.0,3.0,9.0,Digital Wallet,Takeaway,2023-05-04,5,4,2023,Thursday
Coffee,5.0,2.0,10.0,Digital Wallet,Takeaway,2023-02-21,2,21,2023,Tuesday
Juice,3.0,3.0,9.0,Cash,Takeaway,2023-03-16,3,16,2023,Thursday
Juice,3.0,3.0,9.0,Digital Wallet,Takeaway,2023-01-10,1,10,2023,Tuesday
Cake,5.0,3.0,15.0,Digital Wallet,In-store,2023-02-06,2,6,2023,Monday
Salad,2.0,5.0,10.0,Credit Card,Takeaway,2023-02-24,2,24,2023,Friday
Cake,2.0,3.0,6.0,Digital Wallet,Takeaway,2023-06-02,6,2,2023,Friday
Coffee,3.0,2.0,6.0,Digital Wallet,Takeaway,2023-03-29,3,29,2023,Wednesday
Cake,2.0,3.0,6.0,Digital Wallet,Takeaway,2023-06-18,6,18,2023,Sunday
Coffee,5.0,2.0,10.0,Digital Wallet,In-store,2023-09-23,9,23,2023,Saturday
Juice,3.0,3.0,9.0,Digital Wallet,Takeaway,2023-01-14,1,14,2023,Saturday
Tea,4.0,1.5,6.0,Cash,In-store,2023-09-14,9,14,2023,Thursday
Juice,5.0,3.0,15.0,Credit Card,Takeaway,2023-09-16,9,16,2023,Saturday
Smoothie,4.0,4.0,16.0,Credit Card,Takeaway,2023-12-28,12,28,2023,Thursday
Juice,2.0,3.0,6.0,Digital Wallet,Takeaway,2023-02-06,2,6,2023,Monday
Sandwich,2.0,4.0,8.0,Cash,In-store,2023-03-11,3,11,2023,Saturday
Tea,1.0,1.5,1.5,Cash,Takeaway,2023-04-08,4,8,2023,Saturday
Tea,1.0,1.5,1.5,Digital Wallet,Takeaway,2023-12-19,12,19,2023,Tuesday
Juice,4.0,3.0,12.0,Credit Card,Takeaway,2023-07-14,7,14,2023,Friday
Juice,5.0,3.0,15.0,Cash,In-store,2023-04-18,4,18,2023,Tuesday
Juice,2.0,3.0,6.0,Digital Wallet,Takeaway,2023-06-08,6,8,2023,Thursday
Tea,5.0,1.5,7.5,Credit Card,Takeaway,2023-12-12,12,12,2023,Tuesday
Coffee,5.0,2.0,10.0,Cash,In-store,2023-01-05,1,5,2023,Thursday
Salad,3.0,5.0,15.0,Credit Card,In-store,2023-06-10,6,10,2023,Saturday
Sandwich,5.0,4.0,20.0,Digital Wallet,In-store,2023-01-23,1,23,2023,Monday
Tea,1.0,1.5,1.5,Credit Card,Takeaway,2023-02-20,2,20,2023,Monday
Cake,3.0,3.0,9.0,Digital Wallet,Takeaway,2023-07-19,7,19,2023,Wednesday
Cake,5.0,3.0,15.0,Digital Wallet,In-store,2023-12-06,12,6,2023,Wednesday
Juice,1.0,3.0,3.0,Cash,Takeaway,2023-05-31,5,31,2023,Wednesday
Salad,2.0,5.0,10.0,Cash,Takeaway,2023-08-11,8,11,2023,Friday
Tea,5.0,1.5,7.5,Digital Wallet,In-store,2023-09-03,9,3,2023,Sunday
Cake,2.0,3.0,6.0,Credit Card,In-store,2023-07-11,7,11,2023,Tuesday
Salad,4.0,5.0,20.0,Cash,In-store,2023-06-06,6,6,2023,Tuesday
Cake,4.0,3.0,12.0,Digital Wallet,Takeaway,2023-01-18,1,18,2023,Wednesday
Cake,2.0,3.0,6.0,Cash,Takeaway,2023-03-23,3,23,2023,Thursday
Salad,5.0,5.0,25.0,Cash,Takeaway,2023-06-10,6,10,2023,Saturday
Smoothie,4.0,4.0,16.0,Credit Card,Takeaway,2023-01-04,1,4,2023,Wednesday
Coffee,1.0,2.0,2.0,Digital Wallet,Takeaway,2023-06-23,6,23,2023,Friday
Juice,4.0,3.0,12.0,Cash,In-store,2023-11-25,11,25,2023,Saturday
Coffee,5.0,2.0,10.0,Cash,Takeaway,2023-08-03,8,3,2023,Thursday
Smoothie,2.0,4.0,8.0,Digital Wallet,Takeaway,2023-07-12,7,12,2023,Wednesday
Coffee,3.0,2.0,6.0,Cash,In-store,2023-04-30,4,30,2023,Sunday
Salad,5.0,5.0,25.0,Digital Wallet,In-store,2023-11-25,11,25,2023,Saturday
Coffee,2.0,2.0,4.0,Credit Card,Takeaway,2023-03-07,3,7,2023,Tuesday
Juice,2.0,3.0,6.0,Digital Wallet,Takeaway,2023-06-27,6,27,2023,Tuesday
Juice,1.0,3.0,3.0,Credit Card,In-store,2023-11-02,11,2,2023,Thursday
Cookie,1.0,1.0,1.0,Digital Wallet,Takeaway,2023-07-31,7,31,2023,Monday
Tea,2.0,1.5,3.0,Digital Wallet,In-store,2023-09-19,9,19,2023,Tuesday
Cake,5.0,3.0,15.0,Digital Wallet,Takeaway,2023-02-09,2,9,2023,Thursday
Smoothie,5.0,4.0,20.0,Cash,Takeaway,2023-09-04,9,4,2023,Monday
Sandwich,3.0,4.0,12.0,Cash,Takeaway,2023-05-21,5,21,2023,Sunday
Cake,3.0,3.0,9.0,Cash,In-store,2023-07-02,7,2,2023,Sunday
